Top DEVCoin (DEV) addresses as of block 409105

Address	Amount	Last deposit block	Last deposit timestamp	Last withdrawal block	Last withdrawal timestamp
LZtzUrgebTw9nN9fEJ1jxe8CVT5E5bjeJA	4275.8	408470	2018-09-18 02:57:14	408470	2018-09-18 02:57:14
LV7m76x5YUrv2rQY8qyWUJp28A91zkGPPY	4239.6	409061	2018-09-18 13:23:03	409061	2018-09-18 13:23:03
LdELjitaMXjhr5xBVrCQPNiE6iwAzdkBGt	4229.35812357	408509	2018-09-18 03:37:16	408509	2018-09-18 03:37:16
LfbTZaTfd5jw3XxupAgebDcMaG1QWaFDQL	4131.84077734	408562	2018-09-18 04:30:52	408562	2018-09-18 04:30:52
LND4ztxscGfhHgGwwCdv2VBWHvT2NgEegF	4069.6	349894	2018-08-05 15:51:13	349894	2018-08-05 15:51:13
LgKVqgMn4h6FDNLzVq3wvySRkfntnUQ1G9	4064.8	349667	2018-08-05 11:50:58	349667	2018-08-05 11:50:58
LaGsapZUBni4pG5s9qRAkimnympFKZbx3e	4062.4	349666	2018-08-05 11:50:03	349666	2018-08-05 11:50:03
LWaoQYD6D5V2UNKn4nYNqBzWUz8wpR5nFH	4059.2	349863	2018-08-05 15:21:31	349863	2018-08-05 15:21:31
LeVCmhmf9ZpmyG9HbktzreWFRTm4bneGjn	4057.65	408943	2018-09-18 11:27:44	408943	2018-09-18 11:27:44
LWL65DfZC2zjB2Upj2LPb2gCeTdJMV7JGF	3990.70001714	409050	2018-09-18 13:11:01	407207	2018-09-17 04:24:59
LLHPWS7q7K6eMesdn9XqQxQddCY3k5wDgr	3907.40257342	408930	2018-09-18 11:09:50	408354	2018-09-18 00:55:14
LQaPpMnS82eWK9StEPJcHAYGej7VGma2tU	3862.576	408951	2018-09-18 11:32:46	408951	2018-09-18 11:32:46
LfyqUG3R4kVCHC5C7nGVzbYp46SPhCcyUz	3858.36	409011	2018-09-18 12:25:24	409011	2018-09-18 12:25:24
LaPvA34ccAtYMHe7uLbhT7R8GyKXc4jXUH	3829.40007512	408989	2018-09-18 12:07:56	408989	2018-09-18 12:07:56
LSKK9cM5ye67dZWF1fdwfxThjdmEFewJ6Z	3806.17122809	407691	2018-09-17 12:56:32	407691	2018-09-17 12:56:32
LS4f7wVc3K1L3NevTxjhhYmyhC77xHqR1k	3791.10983269	401062	2018-09-12 15:23:48	401062	2018-09-12 15:23:48
LhCSEc1KvVt62K98QvzGe85mQdqwDim6na	3677.55825806	409023	2018-09-18 12:38:44	-	-
LKQgoP8ChsSd29vo6MjXDGx4Pte7pecVg5	3612.092	280642	2018-05-26 11:34:03	280642	2018-05-26 11:34:03
LWYBRweWmEuUwDGHQjYWhiZGGVfTYeW5B1	3599.11768197	408396	2018-09-18 01:32:50	406664	2018-09-16 18:44:21
LaZXJLVUE4H6F1LWo3wRU32YhWs7weeopr	3591.42903357	408839	2018-09-18 09:28:52	408839	2018-09-18 09:28:52
LU9sxugxCtjpgMVtjfQMzcyeXEW4EMZXo3	3554.47410928	400630	2018-09-12 07:41:52	400630	2018-09-12 07:41:52
LbfiBZrS5CdM6vZMpuWMzZGjZkxheJEj9h	3541.5774783	409004	2018-09-18 12:19:58	409004	2018-09-18 12:19:58
LfAqe51bZpWsSKzbEBNPeg4mkK43Ey3h6F	3533.68548484	407536	2018-09-17 10:15:44	407536	2018-09-17 10:15:44
LV52YUMedFn9iNNMzyRE3xUuCvDxzQdcqV	3517.65219622	180535	2018-02-11 07:02:55	-	-
Lfc8o9x3ENGEVnWRSP3PLbs9o3qjie1R84	3475.5958747	408089	2018-09-17 20:07:12	408089	2018-09-17 20:07:12
LQCejqBGkncAxes3fdTWXhfXrbBPkFhJbL	3453.74461363	407736	2018-09-17 13:56:40	407736	2018-09-17 13:56:40
